MainHotel,Hotel_Name
1,Village Hotel Albert Court
2,Hotel Grand Pacific
3,"Amara Sanctuary Resort, Sentosa"
4,Amara Singapore
6,Bayview Hotel Singapore
7,Berjaya Hotel Singapore
8,Broadway Hotel
9,Carlton Hotel
10,New Changi Hotel
11,Village Hotel Changi
12,Conrad Centennial Singapore
13,Copthorne King's Hotel Singapore
14,Copthorne Orchid Hotel Singapore
15,Fortuna Hotel
16,Four Chain View Hotel
17,Four Seasons Hotel
19,Furama City Centre Singapore
20,Furama Riverfront Singapore
21,85 Beach Garden Hotel
23,Village Hotel Bugis
24,Goodwood Park Hotel
25,Grand Copthorne Waterfront Hotel Singapore
26,Grand Hyatt Singapore
27,Grand Mercure Roxy Hotel
28,Grandmax Hotel Pte Ltd
29,Hangout @ Mt. Emily
30,Hilton Singapore
31,Holiday Inn Singapore Atrium
32,Holiday Inn Singapore Orchard City Centre
33,Hotel 1929
34,Hotel 81 - Bencoolen
35,Hotel 81 - Opera
36,Hotel Bencoolen
37,Hotel Grand Central
38,InterContinental Singapore
39,Hotel Miramar Singapore
41,Rendezvous Hotel Singapore
42,Hotel Royal
43,Hotel Royal @ Queens
44,Hotel Supreme
45,Hotel Windsor
46,Concorde Hotel Singapore
47,Lion City Hotel
48,M Hotel Singapore
49,Marina Mandarin
50,"MCC Resort, Pulau Ubin"
51,Mandarin Orchard Singapore
52,Pan Pacific Orchard
53,New Majestic Hotel
54,New Orchid Hotel
55,Novotel Singapore Clarke Quay
56,Orchard Hotel Singapore
57,Orchard Parade Hotel
58,Oxford Hotel
59,Paramount Hotel
61,"Parkroyal on Beach Road, Singapore"
63,Parkroyal on Kitchener Road
64,Peninsula.Excelsior Hotel
65,Quality Hotel Marlow
66,Raffles Hotel Singapore
67,"Fairmont, Singapore"
68,"Shangri-La's Rasa Sentosa Resort & Spa, Singapore"
69,River View Hotel
70,Robertson Quay Hotel
71,Royal Plaza
72,Santa Grand Hotel West Coast
73,Shangri-La Hotel
74,Sheraton Towers Singapore Hotel
75,Siloso Beach Resort
76,Singapore Marriott Tang Plaza Hotel
77,South East Asia Hotel
78,Strand Hotel
79,Summer View Hotel
80,"Swissotel Merchant Court,Singapore"
81,"Swissotel The Stamford, Singapore"
82,The Elizabeth
83,The Fragrance Hotel
84,The Fullerton Hotel
85,The Gallery Hotel
86,"Mandarin Oriental, Singapore"
87,The Pan Pacific Hotel Singapore
88,The Regent Singapore
